Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egz.
Vardas1 Pavardė1 4 2 8 5 6 7
Vardas2 Pavardė2 3 5 7 10 6 10
Vardas3 Pavardė3 4 10 7 1 7 2
Vardas4 Pavardė4 4 1 10 7 5 3
Vardas5 Pavardė5 4 4 2 1 1 5
Vardas6 Pavardė6 4 10 9 1 6 4
Vardas7 Pavardė7 7 2 8 2 3 1
Vardas8 Pavardė8 8 1 5 5 4 6
Vardas9 Pavardė9 2 10 2 1 3 6
Vardas10 Pavardė10 10 1 5 1 3 8
Vardas11 Pavardė11 5 5 1 2 1 8
Vardas12 Pavardė12 4 9 2 10 6 7
Vardas13 Pavardė13 10 2 7 1 9 7
Vardas14 Pavardė14 3 8 8 6 5 9
Vardas15 Pavardė15 4 6 5 4 5 10
Vardas16 Pavardė16 2 4 8 1 4 1
Vardas17 Pavardė17 9 7 3 7 3 8
Vardas18 Pavardė18 7 10 4 3 9 7
Vardas19 Pavardė19 2 2 5 1 8 10
Vardas20 Pavardė20 4 2 1 9 5 4
Vardas21 Pavardė21 4 1 7 4 1 6
Vardas22 Pavardė22 7 10 2 4 7 5
Vardas23 Pavardė23 2 2 10 2 8 1
Vardas24 Pavardė24 2 8 5 8 10 5
Vardas25 Pavardė25 6 4 10 6 3 5
Vardas26 Pavardė26 6 6 6 1 1 9
Vardas27 Pavardė27 10 5 2 9 9 3
Vardas28 Pavardė28 6 4 8 9 6 10
Vardas29 Pavardė29 9 10 10 1 3 7
Vardas30 Pavardė30 10 2 3 6 10 2
Vardas31 Pavardė31 5 10 5 2 6 8
Vardas32 Pavardė32 4 3 10 10 2 3
Vardas33 Pavardė33 1 10 5 8 8 10
Vardas34 Pavardė34 9 10 5 7 5 3
Vardas35 Pavardė35 6 9 4 7 6 5
Vardas36 Pavardė36 4 1 1 10 10 1
Vardas37 Pavardė37 3 5 10 5 4 3
Vardas38 Pavardė38 1 1 2 8 10 8
Vardas39 Pavardė39 6 7 7 4 3 3
Vardas40 Pavardė40 9 7 5 6 8 10
Vardas41 Pavardė41 9 5 10 6 9 1
Vardas42 Pavardė42 5 4 9 3 10 6
Vardas43 Pavardė43 4 6 5 2 10 3
Vardas44 Pavardė44 10 4 3 10 6 3
Vardas45 Pavardė45 6 9 4 10 5 2
Vardas46 Pavardė46 8 8 3 7 7 8
Vardas47 Pavardė47 2 1 3 2 9 7
Vardas48 Pavardė48 9 3 3 7 5 9
Vardas49 Pavardė49 6 6 1 9 4 6
Vardas50 Pavardė50 3 3 2 4 4 6
Vardas51 Pavardė51 2 5 1 8 10 10
Vardas52 Pavardė52 10 5 3 10 8 2
Vardas53 Pavardė53 10 4 9 7 4 3
Vardas54 Pavardė54 9 8 1 6 9 9
Vardas55 Pavardė55 3 8 4 7 2 6
Vardas56 Pavardė56 1 4 6 1 6 3
Vardas57 Pavardė57 7 6 8 6 8 10
Vardas58 Pavardė58 10 3 2 6 6 3
Vardas59 Pavardė59 5 7 3 6 1 3
Vardas60 Pavardė60 9 6 7 8 9 2
Vardas61 Pavardė61 3 8 1 7 3 10
Vardas62 Pavardė62 9 10 5 9 3 7
Vardas63 Pavardė63 10 6 8 8 5 8
Vardas64 Pavardė64 8 6 3 5 8 9
Vardas65 Pavardė65 9 9 5 2 8 1
Vardas66 Pavardė66 3 1 9 7 6 8
Vardas67 Pavardė67 4 3 10 8 6 3
