Vardas Pavardė ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Egz.
Vardas1 Pavardė1 9 9 6 1 1 10 8 5 2 4 7
Vardas2 Pavardė2 8 10 4 8 9 3 2 3 1 2 2
Vardas3 Pavardė3 9 8 5 6 5 3 6 7 10 1 6
Vardas4 Pavardė4 10 8 4 2 8 1 2 4 3 2 6
Vardas5 Pavardė5 4 9 7 9 6 3 3 8 4 3 3
Vardas6 Pavardė6 1 10 6 3 2 1 9 10 2 2 7
Vardas7 Pavardė7 5 4 7 7 10 4 8 5 2 1 6
Vardas8 Pavardė8 3 2 1 3 1 9 1 4 1 7 7
Vardas9 Pavardė9 4 8 4 4 2 3 5 7 1 9 10
Vardas10 Pavardė10 5 7 5 1 6 4 8 3 4 7 8
Vardas11 Pavardė11 2 10 1 6 2 9 8 8 6 7 7
Vardas12 Pavardė12 2 10 8 3 6 1 6 3 3 1 6
Vardas13 Pavardė13 8 8 5 10 3 7 3 7 10 9 1
Vardas14 Pavardė14 1 1 4 2 1 2 2 5 4 3 9
Vardas15 Pavardė15 6 2 5 8 2 8 7 3 6 1 3
Vardas16 Pavardė16 8 8 3 2 10 8 7 5 5 3 7
Vardas17 Pavardė17 1 3 1 6 10 7 5 1 9 3 7
Vardas18 Pavardė18 3 6 5 9 8 8 8 2 7 1 1
Vardas19 Pavardė19 8 1 4 4 10 9 6 4 1 10 10
Vardas20 Pavardė20 10 4 8 8 6 9 9 6 8 9 8
Vardas21 Pavardė21 1 1 4 6 9 4 9 5 6 2 6
Vardas22 Pavardė22 1 7 4 10 5 3 4 3 3 3 5
Vardas23 Pavardė23 7 3 8 5 3 8 1 1 8 8 5
Vardas24 Pavardė24 10 7 6 10 5 3 8 3 3 2 6
Vardas25 Pavardė25 7 6 1 6 4 8 2 5 3 9 8
Vardas26 Pavardė26 6 5 10 1 5 2 10 9 5 8 4
Vardas27 Pavardė27 5 9 6 1 4 7 5 2 4 10 6
Vardas28 Pavardė28 2 9 6 3 7 8 7 8 7 10 1
Vardas29 Pavardė29 6 9 7 3 7 4 8 7 3 1 3
Vardas30 Pavardė30 1 7 8 9 6 8 1 1 5 8 8
Vardas31 Pavardė31 8 4 5 9 3 10 10 10 2 3 6
Vardas32 Pavardė32 4 6 5 5 6 3 8 4 2 2 3
